Weather and Climate Billion-Dollar Disasters to affect Missouri from 2008-2024
Cost values are in millions of dollars
Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths
"Western, Central and Northeast Severe Weather (January 2008)",Severe Storm,20080104,20080109,1473,982,12
"Midwest/Mid-Atlantic Severe Weather (June 2008)",Severe Storm,20080606,20080612,2355.7,1635.9,18
"Midwest Flooding (Summer 2008)",Flooding,20080401,20080630,14937.8,9958.4,24
"Hurricane Ike (September 2008)",Tropical Cyclone,20080912,20080914,43198.4,29998.8,112
"South/Southeast Severe Weather and Tornadoes (April 2009)",Severe Storm,20090409,20090410,2116.4,1430.1,6
"Central Derecho and Tornadoes (May 2009)",Severe Storm,20090507,20090509,1274.2,861,7
"Midwest, South and East Severe Weather (June 2009)",Severe Storm,20090609,20090612,1939,1328.1,0
"Midwest/Southeast Tornadoes and Derecho (April 2011)",Severe Storm,20110404,20110405,3885.3,2775.2,9
"Ohio Valley Derecho and Southern Tornadoes (April 2011)",Severe Storm,20110419,20110420,1452.8,1037.5,0
"Southeast/Ohio Valley/Midwest Tornadoes (April 2011)",Severe Storm,20110425,20110428,14310.7,10222,321
"Midwest/Southeast Tornadoes (May 2011)",Severe Storm,20110522,20110527,12735.6,9096.8,177
"Mississippi River flooding (April-May 2011)",Flooding,20110401,20110531,4270.1,2986,7
"Midwest/Southeast Tornadoes and Severe Weather (June 2011)",Severe Storm,20110618,20110622,2152.3,1537.3,3
"Missouri River flooding (May-June 2011)",Flooding,20110501,20110630,2863.3,2002.3,5
"Midwest/Southeast Severe Weather (August 17-18, 2011)",Severe Storm,20110817,20110818,1600.4,1151.4,0
"Southern Plains/Southwest Drought and Heat Wave (Spring-Summer 2011)",Drought,20110301,20110831,17109.5,11964.8,95
"Midwest/Ohio Valley Severe Weather (April-May 2012)",Severe Storm,20120428,20120501,4488.6,3276.3,1
"U.S. Drought/Heat Wave (2012)",Drought,20120101,20121231,41705.2,30003.6,123
"Midwest/Plains Severe Weather (April 2013)",Severe Storm,20130407,20130411,1963.8,1444,1
"Illinois Flooding and Severe Weather (April 2013)",Flooding,20130416,20130419,1464.7,1077,4
"Midwest/Plains/East Tornadoes (May 2013)",Severe Storm,20130518,20130522,3240.5,2400.3,27
"Midwest/Plains/Northeast Tornadoes (May 2013)",Severe Storm,20130527,20130531,2448.4,1813.5,10
"Ohio Valley Tornadoes (November 2013)",Severe Storm,20131117,20131117,1472.2,1090.6,8
"Western/Plains Drought/Heat Wave (Spring-Fall 2013)",Drought,20130301,20131130,14283.6,10425.9,53
"Midwest/Southeast/Northeast Winter Storm (January 2014)",Winter Storm,20140105,20140108,2933.4,2172.7,16
"Plains Severe Weather (April 2014)",Severe Storm,20140402,20140403,1908.1,1424,0
"Midwest/Southeast/Northeast Tornadoes and Flooding (April 2014)",Severe Storm,20140427,20140501,2309.2,1736.1,33
"Center Severe Weather (May 2014)",Severe Storm,20140510,20140514,1134.5,853,0
"Midwest/Ohio Valley Severe Weather (April 2015)",Severe Storm,20150407,20150409,2069,1555.6,2
"Texas Tornadoes and Midwest Flooding (December 2015)",Severe Storm,20151226,20151229,2609.3,1961.9,50
"South/Southeast Tornadoes (April 2016)",Severe Storm,20160426,20160502,3160.8,2394.5,6
"Plains Tornadoes and Central Severe Weather (May 2016)",Severe Storm,20160508,20160511,2252.9,1719.6,2
"Rockies/Central Tornadoes and Severe Weather (May 2016)",Severe Storm,20160521,20160526,1501.5,1146.3,0
"Central/Southeast Tornado Outbreak (March 2017)",Severe Storm,20170228,20170301,2347.8,1806,6
"Midwest Tornado Outbreak (March 2017)",Severe Storm,20170306,20170308,2828.8,2176,2
"Southeast Severe Weather and Tornadoes (April 2017)",Severe Storm,20170404,20170406,1259.2,976,1
"Missouri and Arkansas Flooding and Central Severe Weather (May 2017)",Flooding,20170425,20170507,2156.7,1659,20
"Colorado Hail Storm and Central Severe Weather (May 2017)",Severe Storm,20170508,20170511,4321.5,3350,0
"Midwest Severe Weather (June 2017)",Severe Storm,20170612,20170616,1946.7,1509,0
"Central and Northeast Severe Weather (May 2018)",Severe Storm,20180501,20180504,1751.3,1390,0
"Central and Eastern Severe Weather (May 2018)",Severe Storm,20180513,20180515,1726.2,1370,5
"Central and Eastern Tornadoes and Severe Weather (July 2018)",Severe Storm,20180719,20180722,1981.6,1585,0
"Southwest/Southern Plains Drought (Summer-Fall 2018)",Drought,20180601,20181230,3797.4,2990,0
"Missouri River and North Central Flooding (March 2019)",Flooding,20190314,20190331,13408.9,10727,3
"Rockies, Central and Northeast Tornadoes and Severe Weather (May 2019)",Severe Storm,20190526,20190529,5655.6,4598,3
"Mississippi River, Midwest and Southern Flooding (July 2019)",Flooding,20190315,20190731,7649.6,6169,4
"Texas Tornadoes and Central Severe Weather (October 2019)",Severe Storm,20191020,20191020,2113.1,1718,2
"Southeast Tornadoes and Northern Storms and Flooding (January 2020)",Severe Storm,20200110,20200112,1401.8,1149,10
"Tennessee Tornadoes and Southeast Severe Weather (March 2020)",Severe Storm,20200302,20200304,2850,2336,25
"Midwest and Ohio Valley Severe Weather (March 2020)",Severe Storm,20200327,20200328,3120.9,2558,0
"Central, Southern and Eastern Severe Weather (April 2020)",Severe Storm,20200427,20200430,1263.3,1027,1
"Central and Eastern Severe Weather (May 2020)",Severe Storm,20200503,20200505,2598.9,2113,2
"Central Severe Weather - Derecho (August 2020)",Severe Storm,20200810,20200810,13452.9,11027,4
"Northwest, Central, Eastern Winter Storm and Cold Wave (February 2021)",Winter Storm,20210210,20210219,27223.2,22686,262
"Eastern Severe Weather (March 2021)",Severe Storm,20210327,20210328,1601.9,1346,8
"Ohio Valley Hail Storms (June 2021)",Severe Storm,20210617,20210618,1980.1,1707,0
"Central Severe Storms (June 2021)",Severe Storm,20210624,20210626,1453.6,1253,0
"Central Severe Storms (July 2021)",Severe Storm,20210708,20210711,1252.8,1080,0
"North Central Severe Weather (August 2021)",Severe Storm,20210810,20210813,1489.5,1284,2
"Southeast, Central Tornado Outbreak (December 2021)",Severe Storm,20211210,20211210,4463.1,3915,93
"Midwest Derecho and Tornado Outbreak (December 2021)",Severe Storm,20211215,20211215,2031.5,1782,1
"Southern Tornado Outbreak (March 2022)",Severe Storm,20220330,20220330,1381.6,1256,2
"Southern Severe Weather (April 2022)",Severe Storm,20220411,20220413,2915.7,2675,1
"Central Severe Weather (June 2022)",Severe Storm,20220607,20220608,2044.8,1911,0
"Kentucky and Missouri Flooding (July 2022)",Flooding,20220726,20220728,1567.6,1465,42
"Central and Eastern Winter Storm and Cold Wave (December 2022)",Winter Storm,20221221,20221226,8951.7,8445,87
"Western/Central Drought and Heat Wave (2022)",Drought,20220101,20221231,23480.6,20965,136
"Southern and Eastern Severe Weather (April 2023)",Severe Storm,20230324,20230326,2956,2815,23
"Central Tornado Outbreak and Eastern Severe Weather (March 2023)",Severe Storm,20230331,20230401,5909.8,5628,33
"Central and Eastern Severe Weather (April 2023)",Severe Storm,20230404,20230406,2956.1,2815,5
"Central and Southern Severe Weather (April 2023)",Severe Storm,20230415,20230415,1401.9,1335,0
"Central Severe Weather (April 2023)",Severe Storm,20230419,20230420,3108.3,2960,1
"Central Severe Weather (May 2023)",Severe Storm,20230506,20230508,2222.5,2137,1
"Central and Eastern Tornadoes and Hail Storms (May 2023)",Severe Storm,20230510,20230512,3563,3426,1
"Central Severe Weather (June 2023)",Severe Storm,20230628,20230702,1976.8,1919,3
"North Central and Eastern Severe Weather (July 2023)",Severe Storm,20230728,20230729,1526.6,1482,2
"Southern Hail Storms (September 2023)",Severe Storm,20230923,20230924,1694.5,1645,0
"Southern/Midwestern Drought and Heatwave (Spring-Fall 2023)",Drought,20230401,20230930,14786.7,14082,247
"Central, Southern, Northeastern Winter Storm and Cold Wave (January 2024)",Winter Storm,20240114,20240118,1948.3,1910,41
"Central and Southern Severe Weather (March 2024)",Severe Storm,20240312,20240314,6151.6,6031,3
"Central Tornado Outbreak and Eastern Severe Weather (April 2024)",Severe Storm,20240401,20240403,2465.5,2441,3
"Central and Southern Tornado Outbreak (April 2024)",Severe Storm,20240426,20240428,1697.8,1681,3
"Central, Southern, Southeastern Tornado Outbreak (May 2024)",Severe Storm,20240506,20240509,6571,6571,3
"Central, Southern, Eastern Severe Weather (May 2024)",Severe Storm,20240518,20240522,4907.8,4859,5
"Central Tornado Outbreak (May 2024)",Severe Storm,20240525,20240526,3466.4,3432,16
