Weather and Climate Billion-Dollar Disasters to affect North Dakota from 2008-2024
Cost values are in millions of dollars
Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths
"U.S. Drought (2008)",Drought,20080101,20081231,10514.8,7009.8,0
"Missouri River flooding (May-June 2011)",Flooding,20110501,20110630,2863.3,2002.3,5
"U.S. Drought/Heat Wave (2012)",Drought,20120101,20121231,41705.2,30003.6,123
"Western/Plains Drought/Heat Wave (Spring-Fall 2013)",Drought,20130301,20131130,14283.6,10425.9,53
"Western and Alaskan Wildfires (Summer-Fall 2015)",Wildfire,20150601,20151130,3996.9,3028,12
"North Dakota, South Dakota and Montana Drought (Spring-Fall 2017)",Drought,20170301,20171231,3250,2500,0
"Missouri River and North Central Flooding (March 2019)",Flooding,20190314,20190331,13408.9,10727,3
"Western/Central Drought and Heat Wave (Summer-Fall 2020)",Drought,20200601,20201230,5439.1,4495,45
"Central Severe Storms (July 2021)",Severe Storm,20210708,20210711,1252.8,1080,0
"Western Drought and Heat Wave (2021)",Drought,20210101,20211231,10201.9,8431,229
"North Central and Eastern Severe Weather (July 2022)",Severe Storm,20220722,20220724,1433.8,1340,1
"Central and Eastern Tornadoes and Hail Storms (May 2023)",Severe Storm,20230510,20230512,3563,3426,1
"Southern/Midwestern Drought and Heatwave (Spring-Fall 2023)",Drought,20230401,20230930,14786.7,14082,247
